GeoID,Zoom,Link
60371031021,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371031021&x=-118.3007801&y=34.2637063
60371031022,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371031022&x=-118.304838&y=34.2621231
60371031023,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371031023&x=-118.3075443&y=34.2653939
60371031024,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371031024&x=-118.3092077&y=34.2614925
60371032001,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371032001&x=-118.3477977&y=34.277692
60371032002,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371032002&x=-118.3329709&y=34.268721
60371032003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371032003&x=-118.3187045&y=34.2635724
60371033001,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371033001&x=-118.3642474&y=34.2559804
60371033002,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371033002&x=-118.3477845&y=34.2586049
60371034001,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371034001&x=-118.305951&y=34.2577834
60371034002,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371034002&x=-118.3038079&y=34.2542515
60371034003,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371034003&x=-118.310543&y=34.2542091
60371034005,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371034005&x=-118.3183847&y=34.2539688
60371041051,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041051&x=-118.4013999&y=34.2785411
60371041052,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041052&x=-118.4068251&y=34.2745902
60371041082,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041082&x=-118.3929005&y=34.2753492
60371041083,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041083&x=-118.3994238&y=34.2746787
60371041241,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041241&x=-118.3838157&y=34.2775179
60371041242,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041242&x=-118.3760716&y=34.28081
60371041243,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371041243&x=-118.374193&y=34.2900933
60371042011,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042011&x=-118.4134567&y=34.2891457
60371042012,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042012&x=-118.4160771&y=34.286078
60371042013,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042013&x=-118.4193592&y=34.2836834
60371042031,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042031&x=-118.4099779&y=34.2775689
60371042032,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042032&x=-118.4131306&y=34.280547
60371042041,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042041&x=-118.4066289&y=34.2826478
60371042042,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371042042&x=-118.3931176&y=34.2912875
60371043101,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043101&x=-118.4229574&y=34.2815853
60371043102,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043102&x=-118.4278913&y=34.2777294
60371043103,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043103&x=-118.4343222&y=34.2719739
60371043201,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043201&x=-118.4167925&y=34.2757626
60371043202,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043202&x=-118.4181881&y=34.2715823
60371043203,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043203&x=-118.4213672&y=34.2692636
60371043204,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371043204&x=-118.4234251&y=34.2729075
60371044012,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371044012&x=-118.4343858&y=34.2650455
60371044031,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371044031&x=-118.4303421&y=34.2547782
60371044032,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371044032&x=-118.4376566&y=34.261855
60371044042,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371044042&x=-118.4312322&y=34.2620669
60371045001,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371045001&x=-118.4289004&y=34.2584901
60371045002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371045002&x=-118.4241716&y=34.2540211
60371046101,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371046101&x=-118.42057&y=34.2619256
60371046102,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371046102&x=-118.4158408&y=34.2574575
60371046201,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371046201&x=-118.4193128&y=34.254925
60371046202,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371046202&x=-118.4240413&y=34.2593946
60371047011,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371047011&x=-118.412373&y=34.2705451
60371047012,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371047012&x=-118.4161664&y=34.2677784
60371047013,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371047013&x=-118.4190097&y=34.2657099
60371047031,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371047031&x=-118.3990879&y=34.2554408
60371047041,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371047041&x=-118.4088637&y=34.2625316
60371048101,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048101&x=-118.4126925&y=34.2544754
60371048102,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048102&x=-118.4079632&y=34.250012
60371048103,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048103&x=-118.4130092&y=34.2489652
60371048211,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048211&x=-118.4147192&y=34.2450802
60371048212,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048212&x=-118.419446&y=34.2495488
60371048221,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371048221&x=-118.4209447&y=34.2458703
60371060101,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371060101&x=-118.4434033&y=34.3253415
60371060201,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371060201&x=-118.4336425&y=34.3168296
60371060202,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371060202&x=-118.4248017&y=34.3249126
60371061111,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061111&x=-118.4123239&y=34.3130398
60371061112,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061112&x=-118.4049929&y=34.3256168
60371061121,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061121&x=-118.4214982&y=34.3181278
60371061122,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061122&x=-118.4106192&y=34.3029465
60371061131,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061131&x=-118.4250046&y=34.3081268
60371061132,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061132&x=-118.4166848&y=34.3022613
60371061141,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061141&x=-118.428796&y=34.3040038
60371061142,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371061142&x=-118.421895&y=34.297781
60371064031,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064031&x=-118.4367206&y=34.3037064
60371064032,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064032&x=-118.440817&y=34.3031771
60371064033,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064033&x=-118.4433972&y=34.3080184
60371064051,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064051&x=-118.446992&y=34.3129222
60371064053,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064053&x=-118.4438577&y=34.3187051
60371064061,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064061&x=-118.4638376&y=34.3238
60371064062,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064062&x=-118.4554781&y=34.3169995
60371064063,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064063&x=-118.4516661&y=34.3215719
60371064071,17,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064071&x=-118.4377668&y=34.3095033
60371064072,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064072&x=-118.4358101&y=34.3112356
60371064081,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064081&x=-118.440517&y=34.3128727
60371064082,17,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371064082&x=-118.4385814&y=34.3145866
60371065101,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065101&x=-118.4800962&y=34.3190651
60371065102,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065102&x=-118.4723305&y=34.3162264
60371065103,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065103&x=-118.494632&y=34.3276501
60371065201,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065201&x=-118.4580726&y=34.3103243
60371065202,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065202&x=-118.4645393&y=34.30875
60371065203,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371065203&x=-118.4577148&y=34.3062997
60371066031,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066031&x=-118.5091975&y=34.3188837
60371066032,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066032&x=-118.5243083&y=34.3121073
60371066041,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066041&x=-118.4695267&y=34.2977382
60371066042,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066042&x=-118.4684644&y=34.3023663
60371066043,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066043&x=-118.461995&y=34.2986536
60371066044,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066044&x=-118.4787866&y=34.3087759
60371066411,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066411&x=-118.5084331&y=34.2984691
60371066421,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066421&x=-118.5074564&y=34.2908967
60371066422,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066422&x=-118.5070426&y=34.2850286
60371066423,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066423&x=-118.5062439&y=34.2802031
60371066431,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066431&x=-118.5174568&y=34.297163
60371066432,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066432&x=-118.5227956&y=34.2899064
60371066433,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066433&x=-118.5216739&y=34.2823855
60371066451,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066451&x=-118.4871054&y=34.2834314
60371066452,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066452&x=-118.4963905&y=34.2928006
60371066461,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066461&x=-118.4953692&y=34.2826269
60371066462,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066462&x=-118.4921183&y=34.2760336
60371066481,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066481&x=-118.4567568&y=34.2935613
60371066482,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066482&x=-118.4513899&y=34.2908666
60371066491,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066491&x=-118.455894&y=34.285327
60371066492,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371066492&x=-118.4628817&y=34.291084
